Radionuclide,Max_Energy_MeV,Emission_Type,Half_Life,Time_Unit,Medical_Purpose,Max_Energy_MeV
Nb-99,3.40349,b-spectra,15,s,Non-Medical,3.40349
Lu-170,3.385,gamma,2.012,d,Non-Medical,3.385
Sn-129,3.3848,b-spectra,2.23,m,Non-Medical,3.3848
Rh-98,3.3824,b-spectra,8.7,m,Non-Medical,3.3824
Mn-56,3.3696,gamma,2.5789,h,Non-Medical,3.3696
Fe-61,3.3649,gamma,5.98,m,Non-Medical,3.3649
Cs-138m,3.3632,b-spectra,2.91,m,Non-Medical,3.3632
Re-180,3.3407,gamma,2.44,m,Non-Medical,3.3407
Ga-72,3.3383,gamma,14.1,h,Non-Medical,3.3383
Gd-142,3.338,b-spectra,70.2,s,Non-Medical,3.338
Ho-170,3.32932,b-spectra,2.76,m,Non-Medical,3.32932
Nb-98m,3.3254,gamma,51.3,m,Non-Medical,3.3254
Pr-140,3.32,gamma,3.39,m,Non-Medical,3.32
Tm-164,3.3156,gamma,2,m,Non-Medical,3.3156
Se-83,3.31232,b-spectra,22.3,m,Non-Medical,3.31232
Tl-196,3.308,b-spectra,1.84,h,Non-Medical,3.308
Sc-44,3.30135,gamma,3.97,h,Non-Medical,3.30135
Tc-93m,3.2981,gamma,43.5,m,Non-Medical,3.2981
I-122,3.28897,gamma,3.63,m,Non-Medical,3.28897
Pm-152m,3.2795,b-spectra,7.52,m,Non-Medical,3.2795
Te-133m,3.27626,b-spectra,55.4,m,Non-Medical,3.27626
Co-62m,3.2711,gamma,13.91,m,Non-Medical,3.2711
Y-83m,3.24988,b-spectra,2.85,m,Non-Medical,3.24988
Fe-53,3.2488,gamma,8.51,m,Non-Medical,3.2488
Cd-103,3.245,gamma,7.3,m,Non-Medical,3.245
Ir-184,3.23523,b-spectra,3.09,h,Non-Medical,3.23523
Ba-141,3.23,b-spectra,18.27,m,Non-Medical,3.23
Xe-121,3.2295,gamma,40.1,m,Non-Medical,3.2295
Cd-119m,3.22306,b-spectra,2.2,m,Non-Medical,3.22306
Pm-140m,3.2215,b-spectra,5.95,m,Non-Medical,3.2215
Y-88,3.2197,gamma,106.65,d,Non-Medical,3.2197
Ir-196,3.209,b-spectra,52,s,Non-Medical,3.209
Sn-127,3.201,b-spectra,2.1,h,Non-Medical,3.201
Ag-101,3.1974,gamma,11.1,m,Non-Medical,3.1974
Cs-123,3.183,b-spectra,5.88,m,Non-Medical,3.183
Gd-148,3.18277,alpha,74.6,y,Non-Medical,3.18277
